Date,Close/Last,Volume,Open,High,Low,,,
06/01/2020,1539.75,23,1549.25,1549.25,1549,,,
05/14/2020,1491.25,29,1491.25,1491.25,1491.25,,,
05/13/2020,1491.25,108,1485.25,1492.5,1479.25,,,
05/12/2020,1493.5,19,1497,1497,1493.25,,,
05/07/2020,1503,31,1503.75,1503.75,1502.75,,,
05/06/2020,1501.5,35,1505.25,1506.25,1500.5,,,
05/05/2020,1506,28,1499.75,1502.75,1498.75,,,
05/04/2020,1502.75,73,1501.25,1505.25,1499.75,,,
04/28/2020,1525.75,35,1530,1532.5,1525.75,,,
04/27/2020,1531,152,1541,1541,1527.5,,,
04/23/2020,1535,122,1538.75,1544,1532.5,,,
04/22/2020,1543.75,56,1532,1539.75,1532,,,
04/21/2020,1520.75,136,1525,1534,1515.75,,,
04/20/2020,1527.75,6,1527.5,1527.75,1527.5,,,
04/16/2020,1526.75,3,1526,1526,1526,,,
04/15/2020,1497,10,1504,1504,1504,,,
04/14/2020,1494,1,1494,1494,1494,,,
04/08/2020,1471.75,151,1475.5,1476.5,1470,,,
04/07/2020,1482,69,1492.25,1492.25,1484.75,,,
04/03/2020,1478,20,1475,1478,1475,,,
04/02/2020,1492.5,10,1490,1490,1490,,,
04/01/2020,1488.75,5,1485,1485,1485,,,
03/30/2020,1530,2,1520,1520,1520,,,
03/16/2020,1686.75,5,1686.75,1686.75,1686.75,,,
03/12/2020,1659.75,5,1659.75,1659.75,1659.75,,,
03/11/2020,1685.25,15,1682.25,1682.25,1682.25,,,
03/06/2020,1678.75,1,1679.25,1679.25,1679.25,,,
03/04/2020,1723.75,3,1723.75,1723.75,1723.75,,,
02/28/2020,1684,12,1682,1685,1682,,,
02/27/2020,1687,80,1688.5,1690.25,1687,,,
02/26/2020,1702.5,181,1701.75,1708.75,1700,,,
02/25/2020,1715.5,147,1711.5,1720,1711.25,,,
02/24/2020,1711.25,115,1715.75,1715.75,1713,,,
02/13/2020,1757.25,1,1740,1740,1740,,,
02/12/2020,1751.5,29,1756.5,1761.5,1752,,,
02/10/2020,1726,5,1725,1725,1725,,,
02/06/2020,1757,40,1745.5,1767.5,1745.5,,,
02/04/2020,1717.5,20,1720.75,1720.75,1720,,,
01/28/2020,1779,5,1775,1775,1775,,,
01/23/2020,1809.5,12,1809.5,1809.5,1809.5,,,
01/22/2020,1827.75,3,1827.75,1827.75,1827.75,,,
01/16/2020,1824.75,14,1822.75,1824.75,1822.75,,,
01/15/2020,1815.25,20,1819.25,1819.25,1815.75,,,
01/14/2020,1823,45,1814,1821.5,1813.75,,,
01/13/2020,1812,110,1812,1815.25,1807.75,,,
01/09/2020,1817.5,226,1810,1826,1810,,,
01/08/2020,1816.75,75,1816.5,1816.5,1816.5,,,
01/07/2020,1832.25,20,1832.25,1832.25,1832.25,,,
01/06/2020,1854.25,47,1855.25,1857.75,1853.25,,,
01/02/2020,1825,5,1825,1825,1825,,,
12/30/2019,1846.5,5,1846,1846,1846,,,
12/27/2019,1842,5,1842,1842,1842,,,
12/18/2019,1786.25,36,1786.25,1786.25,1786.25,,,
12/17/2019,1772.75,13,1772.25,1772.25,1772.25,,,
12/16/2019,1784.5,72,1779,1787.5,1778.75,,,
12/13/2019,1776,184,1793.75,1793.75,1774.5,,,
12/12/2019,1785.75,260,1791.25,1791.25,1784.75,,,
12/11/2019,1767.25,10,1763.5,1763.5,1763.5,,,
12/05/2019,1757.5,10,1757.5,1757.5,1757.5,,,
12/04/2019,1764.5,16,1764.5,1764.5,1764.5,,,
12/02/2019,1804.75,168,1786.5,1805.5,1779.5,,,
11/27/2019,1783.25,90,1800.75,1800.75,1783.25,,,
11/18/2019,1752,1,1752,1752,1752,,,
11/15/2019,1775.75,89,1756.5,1767.5,1756.5,,,
11/12/2019,1780.75,1,1790,1790,1790,,,
11/06/2019,1811.5,15,1800,1807.25,1795,,,
11/05/2019,1814,5,1810,1810,1810,,,
11/04/2019,1809.5,9,1790,1790,1790,,,
10/29/2019,1742.5,11,1742.5,1742.5,1742.5,,,
