Date,Close/Last,Volume,Open,High,Low
07/18/2019,1511.9,4405,1539.9,1548.3,1505.8
07/17/2019,1539.7,N/A,1539.7,1539.7,1539.7
07/16/2019,1516.3,4918,1562.4,1564.8,1502.5
07/15/2019,1562.9,2804,1541.9,1568.9,1540.6
07/12/2019,1542.4,3465,1554.9,1558.5,1526.1
07/11/2019,1559.1,4946,1585.1,1600.5,1550.3
07/10/2019,1588.1,4899,1542.3,1593.2,1536.9
07/09/2019,1539.9,3217,1556.3,1556.3,1532.5
07/08/2019,1558.2,1931,1559.7,1569.6,1552
07/05/2019,1564.2,3866,1558.2,1571.6,1548.2
07/03/2019,1565.8,1200,1567.4,1567.4,1548.2
07/02/2019,1552.8,2648,1540.2,1555.2,1535
07/01/2019,1539.1,N/A,1539.1,1539.1,1539.1
06/28/2019,1532.4,4057,1543.4,1558.3,1511
06/27/2019,1538.9,2690,1514.9,1543.1,1508.6
06/26/2019,1518,6,1518,1518,1518
06/25/2019,1532.5,3738,1529.4,1542.3,1501.2
06/24/2019,1528.6,3579,1491.4,1537.5,1491.4
06/21/2019,1499.6,3963,1472.6,1507.1,1464.7
06/20/2019,1480.6,5038,1493.7,1525.1,1461.6
06/19/2019,1492.6,3089,1474.5,1495.8,1473
06/18/2019,1473.3,3412,1449.5,1482.8,1448.9
06/17/2019,1455.5,3210,1462.3,1463.7,1438.3
06/14/2019,1461.5,4370,1442.4,1464,1435.5
06/13/2019,1438.2,4226,1404.1,1442.6,1398
06/12/2019,1405.6,3043,1388.2,1409.2,1381.6
06/11/2019,1389.2,3314,1376.6,1396,1372
06/10/2019,1386.8,3755,1351.5,1388,1342.1
06/07/2019,1356,2803,1345.1,1369.3,1338.7
06/06/2019,1349.1,2806,1326.2,1352.2,1325.4
06/05/2019,1327.3,3041,1342.8,1345,1311.6
06/04/2019,1337.1,12,1330,1341.3,1330
06/03/2019,1315,3040,1326.6,1345.7,1305
05/31/2019,1331.5,4937,1366.9,1370.1,1314.6
05/30/2019,1369.8,1627,1345.7,1378.9,1331.7
05/29/2019,1343.9,4184,1335.5,1344.9,1322.8
05/28/2019,1336.7,4487,1327.7,1341.9,1322.1
05/24/2019,1324,343,1323.7,1331.4,1315
05/23/2019,1305.5,1746,1304.9,1315,1299.5
05/22/2019,1313.5,4387,1315.6,1323.7,1291.7
05/21/2019,1312.5,2847,1326,1332.9,1311.2
05/20/2019,1331,2568,1308,1332.9,1303.9
05/17/2019,1305.8,2609,1329.3,1329.3,1302.4
05/16/2019,1324.7,2485,1336.7,1339,1320
05/15/2019,1332.9,5370,1331.4,1350,1298
05/14/2019,1333,2507,1315.1,1336.1,1308
05/13/2019,1316.8,4057,1342.6,1346.5,1310.8
05/10/2019,1350.7,6553,1291.1,1353.9,1285.3
05/09/2019,1283,6987,1311.6,1317.4,1256.5
05/08/2019,1306.4,3825,1322.3,1332,1305.3
05/07/2019,1323.4,4448,1329.9,1346.3,1308.3
05/06/2019,1328.1,3354,1357.3,1363.8,1324
05/03/2019,1358,4190,1350.4,1373.3,1335.2
05/02/2019,1343.2,3155,1352,1356.3,1325
05/01/2019,1344.4,6817,1376.8,1378.1,1303.6
04/30/2019,1387.4,N/A,1387.4,1387.4,1387.4
04/29/2019,1362,7906,1455.8,1457.2,1353.7
04/26/2019,1447.2,5399,1405.9,1457.1,1397.8
04/25/2019,1406.9,2631,1404.8,1411.3,1397.2
04/24/2019,1405.1,4163,1376.3,1409.5,1370.5
04/23/2019,1375.6,3272,1374.5,1381.8,1352.1
04/22/2019,1369.8,3451,1409.6,1417.2,1360
04/18/2019,1398.5,3973,1377.6,1410.4,1359
04/17/2019,1378.6,4702,1331,1383.3,1328.9
04/16/2019,1328.4,3035,1335.1,1347.8,1325.7
04/15/2019,1334.7,2121,1349.4,1349.6,1332.8
04/12/2019,1350.2,3016,1342.1,1354.3,1335.8
04/11/2019,1332.6,4470,1361.3,1373,1324.3
04/10/2019,1363.2,2178,1362.6,1371.5,1355
04/09/2019,1362.6,3286,1358.2,1373.3,1340.8
04/08/2019,1356.3,N/A,1356.3,1356.3,1356.3
04/05/2019,1345.9,6458,1338,1357,1292.5
04/04/2019,1332.3,5098,1377.7,1383.9,1329.4
04/03/2019,1378.1,5625,1400.5,1413,1351
04/02/2019,1400.3,4866,1390.3,1408.5,1364.8
04/01/2019,1391.8,4486,1348.9,1395,1338.3
03/29/2019,1341.8,8289,1316,1369,1308
03/28/2019,1309.7,12997,1419.3,1424.8,1303.2
03/27/2019,1421.5,10435,1513.2,1522.9,1407.4
03/26/2019,1515.9,4820,1544.4,1549.5,1504.9
03/25/2019,1543.4,5417,1520.9,1547.9,1501.3
03/22/2019,1515.5,6008,1566,1570.9,1512
03/21/2019,1557.9,3657,1559.9,1576.9,1550
03/20/2019,1560.4,2621,1554,1565.5,1548.3
03/19/2019,1551.9,4402,1542.1,1563.3,1536
03/18/2019,1539.7,3689,1513.7,1541.8,1500.9
03/15/2019,1518.5,3068,1514.1,1524.1,1511.8
03/14/2019,1531.7,5,1530.1,1530.1,1530.1
03/13/2019,1506.7,2838,1498.4,1515,1490
03/12/2019,1519.9,N/A,1519.9,1519.9,1519.9
03/11/2019,1482,3373,1470.1,1495.5,1463.2
03/08/2019,1459,4136,1484.5,1487,1455.6
03/07/2019,1482.4,4385,1492.4,1510,1470.2
03/06/2019,1486.4,4278,1474.2,1498.9,1460.5
03/05/2019,1465.9,4566,1489,1493,1460
03/04/2019,1485.1,5070,1505.8,1516.8,1469.9
03/01/2019,1506.1,4982,1500.5,1519.4,1482.9
02/28/2019,1501.5,4442,1485.6,1508.2,1478.8
02/27/2019,1523.4,2006,1528.2,1537.4,1496
02/26/2019,1519.7,6946,1507,1525.8,1491.6
02/25/2019,1494.5,6200,1456.7,1507.1,1454.3
02/22/2019,1460.1,5728,1439.5,1464,1437
02/21/2019,1445.1,7825,1458,1470.7,1425.4
02/20/2019,1462.1,7236,1454.8,1479.4,1451.2
02/19/2019,1453.9,8823,1431,1465.8,1406.2
02/15/2019,1407.2,2250,1407.9,1436,1406.2
02/14/2019,1385.9,3767,1372.7,1394.2,1372.1
02/13/2019,1411,N/A,1411,1411,1411
02/12/2019,1375.4,3364,1361.5,1379.9,1355.8
02/11/2019,1395.2,N/A,1395.2,1395.2,1395.2
02/08/2019,1371.2,3657,1357.8,1379.9,1356.1
02/07/2019,1358.1,4086,1343.6,1367.8,1338.9
02/06/2019,1351.6,3585,1348.2,1356,1332
02/05/2019,1341.2,3028,1331.6,1349.5,1327.7
02/04/2019,1330.4,3684,1316.9,1336.4,1306.6
02/01/2019,1313.6,4950,1303.2,1337,1303.2
01/31/2019,1299.9,6152,1321.9,1348,1296
01/30/2019,1316.4,2982,1304.8,1324.1,1297.7
01/29/2019,1303.6,4551,1294.7,1317.1,1284
01/28/2019,1289.3,4642,1319.9,1329,1287.7
